Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),predicted label
8.964429917,-4.214262568,10.41222579,-9.427139522,14.66442684,0.0
8.974403917,-4.150170068,10.84012035,-9.248101287,14.84114208,0.0
8.984377917,-4.419600994,11.1417595,-9.535922291,15.31683687,0.0
8.994352917,-4.435171545,10.83287799,-10.97937296,16.0489446,0.0
9.004326917,-4.157115975,10.54869746,-11.58156484,16.20769186,0.0
9.014300917,-3.813886755,10.09877059,-10.70467662,15.20266428,0.0
9.024275917,-3.684765031,9.091606992,-9.194878761,13.44546788,0.0
9.034249917,-3.985107263,8.038342774,-7.49293087,11.68931339,0.0
9.044223917,-4.490500823,7.201585749,-5.910952057,10.342475,0.0
9.054198917,-4.955544502,6.872710274,-5.216867679,9.950240007,0.0
9.064172917,-5.065202599,6.829450234,-5.097659324,9.91381856,0.0
9.074146917,-4.806334668,6.704739649,-4.652516059,9.471023829,0.0
9.084121917,-4.574030052,6.289825904,-3.68702878,8.606848555,0.0
9.094095917,-4.489049544,5.756564514,-2.621148317,7.756289017,0.0
9.104069917,-4.507084111,5.325904802,-1.654096617,7.170432676,0.0
9.114044917,-4.488019849,5.086353732,-0.9350001884,6.847447832,0.0
9.124018917,-4.554355341,5.050298046,-0.5383192313,6.821836302,0.0
9.133992917,-4.885204251,5.166797971,-0.3653927985,7.120009393,0.0
9.143967917,-5.34299212,5.321189023,-0.4702542789,7.555379309,0.0
9.153941917,-5.833269458,5.378589969,-0.6141845155,7.958233802,0.0
9.163915917,-6.32529336,5.289469632,-0.5772173949,8.265652122,0.0
9.173890917,-6.617716708,4.981972162,-0.5073244567,8.298891441,0.0
9.183864917,-6.659678081,4.644968473,-0.6797587001,8.147951654,0.0
9.193838917,-6.586387911,4.371187218,-1.063773565,7.976176879,0.0
9.203813917,-6.196882657,3.644135653,-1.436873724,7.331144891,0.0
9.213787917,-5.188722691,2.234145672,-1.641659735,5.882966661,0.0
9.223761917,-3.642386166,0.0424607259,-1.704146444,4.021553804,0.0
9.233736917,-1.053352511,-3.390787785,-1.715145202,3.94318607,0.0
9.243710917,2.924311831,-8.336688766,-1.558008737,8.971029512,0.0
9.253684917,8.026690443,-14.26118824,0.199687677,16.3660968,0.0
9.263659917,11.9897461,-18.50533826,4.435859469,22.49174082,0.0
9.273633917,12.51674044,-19.98937563,8.48338956,25.06415424,1.0
9.283607917,12.07205853,-23.6801475,8.126650933,27.79435983,1.0
9.293582917,13.89547764,-26.0843191,7.102823353,30.39615274,1.0
9.303556917,15.19134225,-22.98445982,9.790424107,29.238924,1.0
9.313530917,15.57800342,-20.49026216,11.97029592,28.38684587,1.0
9.323505917,15.96682338,-19.09058842,11.75154223,27.52251369,1.0
9.333479917,16.36231969,-17.00233721,10.62196308,25.87723084,1.0
9.343453917,16.09019262,-14.08040636,9.261705419,23.30088687,1.0
9.353428917,14.8255802,-9.890953531,7.749587384,19.43411677,1.0
9.363402917,13.07446775,-5.508372429,6.178828209,15.47455304,1.0
9.373376917,11.41351703,-1.887348481,4.486305445,12.4079568,1.0
9.383351917,9.80645191,1.246921077,2.380067031,10.16789213,1.0
9.393325917,8.002097054,3.861084895,-0.2632008643,8.888802423,0.0
9.403299917,5.793054648,5.873947368,-3.048775079,8.795326561,0.0
9.413274917,3.452526489,7.254527609,-5.141554956,9.538537485,0.0
9.423248917,1.042230522,8.372032261,-6.390723703,10.58388011,0.0
9.433222917,-1.418303552,9.69116996,-6.830768781,11.94109552,0.0
9.443197917,-3.400378096,10.73270232,-6.9275823,13.21910991,0.0
9.453171917,-4.622349688,10.98413377,-6.974424344,13.80796532,0.0
9.463145917,-4.882084762,10.61786067,-6.986785943,13.61575905,0.0
9.473120917,-4.803288853,10.39383162,-7.112259589,13.47915264,0.0
9.483094917,-4.895897639,10.54956402,-7.43242973,13.80232323,0.0
9.493068917,-4.90206996,10.29534463,-7.576668845,13.69051941,0.0
9.503043917,-4.834947433,9.735690075,-7.248230742,13.06511488,0.0
9.513017917,-4.901937813,9.541164905,-6.649434929,12.62053117,0.0
9.522991917,-4.868367194,9.420387742,-6.076094384,12.22144129,0.0
9.532965917,-4.660711516,9.258112305,-5.49233761,11.73033025,0.0
9.542940917,-4.428454263,9.073378297,-4.901419457,11.2232488,0.0
9.552914917,-4.193721299,8.846857163,-4.458710096,10.7579866,0.0
9.562888917,-4.168263692,8.578637195,-4.233374777,10.43498444,0.0
9.572867417,-4.156002665,8.237578461,-3.803432518,9.979787371,0.0
9.582841417,-4.059201425,7.804546534,-3.12096568,9.334264277,0.0
9.592815417,-4.014577814,7.407812367,-2.491713182,8.786418706,0.0
9.602790417,-3.906587343,7.112917401,-2.101732257,8.382857335,0.0
9.612764417,-3.676906958,6.97296254,-1.908923245,8.110847016,0.0
9.622738417,-3.440023388,6.899406322,-1.797145824,7.916141839,0.0
9.632713417,-3.494572647,6.867529056,-1.49896063,7.849960273,0.0
9.642687417,-3.791168568,6.913843682,-1.229278273,7.98030818,0.0
9.652661417,-4.2265119,6.940810456,-1.220206026,8.217490819,0.0
9.662636417,-4.644968473,6.803152381,-1.297119423,8.339132643,0.0
9.672610417,-4.804844213,6.288931865,-1.249986187,8.012468869,0.0
9.682584417,-4.739689273,5.677744047,-1.173556208,7.488569025,0.0
9.692559417,-4.554043685,5.124654749,-1.375940621,6.992468289,0.0
