Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
2.706329458,-3.620830405,7.006938372,-8.78222438,11.80402742,1
2.716299458,-4.941778402,7.315731584,-10.46288607,13.68988996,1
2.726268458,-5.883041543,7.478558999,-11.60464965,15.00689561,1
2.736238458,-6.133940304,7.386762391,-12.05661018,15.41270033,1
2.746207458,-6.358479817,7.105459278,-11.66800189,15.06851304,1
2.756177458,-6.641321332,6.603202164,-10.67539727,14.20118075,1
2.766146458,-6.852713381,5.533763963,-9.360339761,12.85294459,1
2.776116458,-7.169733042,4.632853919,-8.115319614,11.778235,1
2.786086458,-7.164223795,4.245254273,-7.708765633,11.34783477,1
2.796055458,-6.820856581,4.319471811,-7.958412505,11.33658903,1
2.806025458,-6.255829607,4.673521304,-8.18317889,11.31112825,1
2.815994458,-5.905228218,5.028083889,-8.127779446,11.23450696,1
2.825964458,-5.837423905,5.527602167,-7.855429589,11.24000345,1
2.835933458,-5.895378583,6.015137161,-7.494840571,11.27430702,1
2.845903458,-5.895721815,6.212889994,-7.020011576,11.07429909,1
2.855872458,-5.844183871,6.170553814,-6.457304778,10.67365938,1
2.865842458,-5.897509893,6.055767124,-5.887606464,10.30130323,1
2.875812458,-5.928760337,5.860944915,-5.311884348,9.885190426,1
2.885781458,-5.927448807,5.463072295,-4.820855058,9.392574288,1
2.895751458,-5.892452052,4.710503481,-4.338721722,8.702547926,1
2.905720458,-5.543679087,3.218729372,-3.790199392,7.44702679,1
2.915690458,-4.796703134,1.022438282,-3.318350139,5.921586666,1
2.925659458,-3.447869182,-1.79573723,-2.892459708,4.845492468,1
2.935629458,-0.9586878437,-5.728953962,-2.219328243,6.218151954,1
2.945599458,2.632258027,-11.54337667,0.1441192478,11.84056999,1
2.955568458,7.005022824,-19.160051,4.679137262,20.93017498,1
2.965538458,13.49115671,-27.24288173,6.980200224,31.19149098,1
2.975507458,17.68347117,-29.18509756,8.538696034,35.17647512,1
2.985477458,20.18475215,-26.31228566,8.860861244,34.32601722,1
2.995446458,20.24767287,-24.126966,7.680597256,32.42021467,1
3.005416458,17.78405498,-21.71563741,5.911417496,28.68425311,1
3.015381833,18.73205119,-20.91491502,5.136837423,28.54313421,1
3.025350833,22.1821961,-21.06004058,4.291167487,30.88671642,1
3.035320833,24.130479,-17.31607541,1.963518697,29.76544793,1
3.045289833,21.79172606,-10.01973027,6.177623098,24.76766736,1
3.055259833,20.02515123,-4.303111594,9.794483829,22.7036421,1
3.065228833,17.226468,0.1211543083,9.426553631,19.63735704,1
3.075198833,13.33134295,2.664542259,6.535815343,15.08447456,1
3.085168833,10.1092184,4.08565189,5.155842043,12.06115895,1
3.095137833,8.171841724,4.579165662,4.335146735,10.32188222,1
3.105107833,7.265335602,4.093292447,2.909820676,8.832168524,1
3.115076833,6.719141926,3.297918506,0.940137552,7.543672402,1
3.125046833,5.908916641,2.928176841,-0.9757675606,6.666456166,1
3.135015833,3.548613784,3.66894305,-2.010381207,5.485930686,1
3.144985833,0.8922266364,4.982239965,-2.357238917,5.583489836,1
3.154954833,-1.038578936,5.783669282,-3.802181214,6.999004112,1
3.164924833,-3.167433211,5.399310747,-4.893842928,7.945746554,1
3.174894833,-4.311240394,5.037504923,-6.221203566,9.092118751,1
3.184863833,-5.491938245,5.661332082,-8.627953781,11.68989534,1
3.194833833,-7.647303795,6.703352104,-9.916316414,14.20385567,1
3.204802833,-9.028209726,6.796181331,-10.84359126,15.66142149,1
3.214772833,-8.977772228,6.05325516,-11.24095868,15.60773668,1
3.224741833,-8.198049529,6.431505693,-9.414541111,14.0430006,1
3.234711833,-7.050238173,4.697884605,-10.17740863,13.24219107,1
3.244681833,-6.822711902,3.589829637,-11.50250932,13.8471656,1
3.254650833,-7.182097564,4.901925826,-12.10881763,14.90754395,1
3.264620833,-7.050897739,6.724648833,-11.86590324,15.35368753,1
3.274589833,-6.472556655,7.923447325,-10.59381926,14.72766151,1
3.284559833,-6.365194759,8.172431123,-9.286882945,13.91224387,1
3.294528833,-6.652121724,7.61131009,-8.126588953,12.97012771,1
3.304498833,-8.508636083,6.336249872,-4.497249094,11.52259519,1
3.314468833,-9.557406716,5.593824808,-0.6985525283,11.09607475,1
3.324437833,-7.923746118,5.621295027,0.04737384886,9.71529488,1
3.334407833,-5.528464631,6.740000113,-1.428057293,8.833508382,1
3.344376833,-4.420220214,7.409514492,-2.351470639,8.942520109,1
3.354346833,-3.844410975,7.708619453,-2.305206299,8.91719046,1
3.364315833,-3.701239561,8.630010247,-2.378015243,9.686651002,1
3.374285833,-3.854719031,8.926788016,-3.275892044,10.26050056,1
3.384255833,-3.646349993,7.508285658,-4.60808716,9.534395056,1
