Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
1.812497625,-1.482981359,-0.7849544951,0.02296479329,1.678068727,0
1.822578625,-1.265552645,-0.804110266,0.1448043953,1.506381469,0
1.832658625,-0.8506517637,-0.7474071845,0.160585738,1.143684267,0
1.842739625,-0.2907218081,-0.6333204058,0.0686743053,0.7002357219,0
1.852820625,0.6863701469,-0.3361628598,0.1022223397,0.7710764252,0
1.862900625,2.309259589,0.4589005941,0.2568138045,2.368379812,0
1.872981625,3.953086156,1.586229446,0.1382397994,4.261704383,0
1.883062625,4.773838182,2.408541217,-0.2274099112,5.351851741,0
1.893142625,4.829855677,2.676124424,-0.6943627059,5.565185295,0
1.903223625,4.109058294,1.973980243,-1.125650409,4.695534784,0
1.913304625,2.692339337,0.9302981499,-1.139153969,3.067868563,0
1.923384625,0.9571985579,0.122744751,-0.6692209212,1.174373022,0
1.933465625,-0.5558456755,-0.5440761074,-0.1548108816,0.7930634493,0
1.943545625,-1.728150433,-1.356506377,0.105118831,2.199468899,0
1.953626625,-2.3483798,-2.022486113,0.144903798,3.102633539,0
1.963707625,-2.37548223,-2.376706344,0.5294899356,3.401765492,0
1.973787625,-2.192274345,-2.367674443,1.179633658,3.435619979,0
1.983868625,-2.097842982,-2.196169176,1.491070982,3.383400197,0
1.993949625,-2.126872653,-1.876741047,1.538521721,3.226886011,0
2.004029625,-2.030131055,-1.596106855,1.492480745,2.982698102,0
2.014110625,-1.971006934,-1.774802443,1.077827786,2.862953856,0
2.024190625,-1.687528072,-1.715775094,0.7377040956,2.51710995,0
2.034271625,-0.968792417,-1.144492477,0.8835317536,1.740416656,0
2.044352625,-0.2208399796,-0.7496609938,1.230973381,1.458100602,0
2.054432625,0.4537234694,-0.5133671156,1.667776762,1.803022493,0
2.064513625,1.291506096,-0.04578311384,2.257560847,2.601281428,0
2.074594625,2.17356267,0.6020176291,2.83318239,3.621287391,0
2.084674625,2.928111352,1.061459091,3.170324074,4.444264419,0
2.094755625,3.706203262,1.281128165,3.080699707,4.986776783,0
2.104835625,4.316285956,1.195716717,2.664489634,5.211484235,0
2.114916625,4.685026578,1.090271831,2.376088001,5.365068582,0
2.124997625,4.870625973,1.094033929,2.105812152,5.41796571,0
2.135077625,4.852100825,1.063039593,1.795833124,5.281851209,0
2.145158625,4.732665598,1.274059759,1.509394401,5.128315843,0
2.155239625,4.304071122,1.582032607,1.426347567,4.802324726,0
2.165319625,3.668899196,1.676876199,1.530076588,4.314379383,0
2.175400625,2.99574551,1.657089221,1.626841575,3.790389078,0
2.185481625,2.474545172,1.583751689,1.410295206,3.258922489,0
2.195561625,2.187195454,1.513202693,0.9026908135,2.808639715,0
2.205642625,1.971126217,1.501358573,0.5188363087,2.531522712,0
2.215722625,1.759444731,1.344113495,0.3721062791,2.24516145,0
2.225803625,1.450534574,1.022245324,0.06515082797,1.775747922,0
2.235884625,0.965749526,0.8992935812,-0.2792185807,1.348838059,0
2.245964625,0.6666983593,0.9646180898,-0.547259624,1.29401231,0
2.256045625,1.059849352,0.8896988851,-0.7220656443,1.560840655,0
2.266126625,1.823604475,0.9326127702,-0.6749113584,2.156572559,0
2.276206625,2.524736502,1.344748503,-0.1464359238,2.864277644,0
2.286287625,2.975749787,1.985708004,0.522993679,3.615473062,0
2.296367625,2.966959083,2.65021892,1.257697495,4.17232663,0
2.306448625,2.228361021,3.161457356,1.613073721,4.190753188,0
2.316529625,0.8348748064,3.532410564,1.533634619,3.940428337,0
2.326609625,-0.7879380369,3.646203813,1.170800854,3.909785574,0
2.336690625,-2.152461239,3.396251716,0.4226613057,4.043050541,0
2.346771625,-3.186283464,2.931867603,-0.5021121025,4.358940986,0
2.356851625,-3.748236557,2.305503922,-1.556846895,4.667804395,0
2.366932625,-3.742156037,1.695447541,-2.281839656,4.699475118,0
2.377013625,-3.313179154,0.8075946218,-2.538774498,4.251439889,0
2.387093625,-2.672754673,-0.2461286026,-2.562309541,3.710744806,0
2.397174625,-2.162551194,-1.133172852,-2.488510662,3.486171782,0
2.407254625,-1.677233464,-1.512644868,-2.226461261,3.171488032,0
2.4173355,-1.012607943,-1.674007555,-1.913668553,2.736750531,0
2.4274165,-0.3457528782,-1.607363915,-1.830611193,2.460548953,0
2.4374965,0.4902621353,-0.9366672295,-1.696200078,1.998698868,0
2.4475775,1.315098442,-0.01518989682,-1.361065158,1.892673508,0
2.4576585,1.791671661,0.4828259388,-1.16581793,2.19142412,0
2.4677385,1.593802468,0.1067385828,-1.638334862,2.288174065,0
2.4778195,0.7539972889,-0.769902885,-2.461879519,2.687398952,0
2.4879005,-0.5002813393,-1.620061436,-3.023418043,3.46640118,0
2.4979805,-1.735422031,-2.041422321,-3.139260449,4.127232836,0
2.5080615,-2.505731297,-1.96324534,-2.757795993,4.211705158,0
2.5181415,-2.451415341,-1.698601237,-1.846351898,3.50766285,0
2.5282225,-1.605415038,-1.703861392,-0.7416333514,2.455711936,0
2.5383035,-0.665900799,-1.990991255,0.02285450019,2.099521941,0
2.5483835,-0.3753625935,-2.187159786,0.3280872703,2.243257957,0
2.5584645,-0.7062980425,-2.117437879,0.2658349619,2.247903094,0
2.5685455,-1.345505133,-1.876291104,-0.1993532894,2.317454229,0
2.5786255,-2.007276043,-1.576730352,-0.7438823368,2.658683255,0
2.5887065,-2.428170905,-1.212523954,-1.123165781,2.937299721,0
2.5987865,-2.387457327,-0.7590370041,-1.106283992,2.738604377,0
2.6088675,-1.971174164,-0.3079541373,-0.6888722435,2.11066537,0
2.6189485,-1.488691165,-0.104968923,-0.3902736513,1.542573623,0
2.6290285,-1.186121728,-0.1401177058,-0.3815249741,1.253825758,0
2.6391095,-0.9756693274,-0.2247567371,-0.5294348256,1.132584417,0
2.6491905,-0.9689327502,-0.2481111011,-0.666199007,1.201753265,0
2.6592705,-1.099868281,-0.2032655883,-0.7883485115,1.368400713,0
2.6693515,-1.140055025,-0.005278866291,-0.8390808548,1.415559962,0
2.6794325,-1.104570027,0.3140688631,-0.9238742526,1.473858144,0
2.6895125,-0.760797016,0.6052733588,-0.8490684839,1.290769239,0
2.6995935,-0.3956196874,0.7524094775,-0.7854599869,1.157403279,0
2.7096735,-0.2757839262,0.8072326791,-0.807534834,1.174646279,0
2.7197545,-0.283460151,0.7961577603,-0.8513804729,1.199610581,0
2.7298355,-0.2715914726,0.8828079414,-0.7754144704,1.20597653,0
2.7399155,-0.484894976,1.100350091,-0.8494257487,1.472215189,0
2.7499965,-0.8747686046,1.05863167,-0.9589476062,1.674963174,0
2.7600775,-1.133343006,0.7392131889,-1.028422322,1.699574941,0
2.7701575,-1.221311442,0.4430704272,-1.025942518,1.655436828,0
2.7802385,-1.102353348,0.3836741182,-0.9224719441,1.487730896,0
2.7903195,-0.7883613753,0.3495722795,-0.8486531854,1.209928372,0
2.8003995,-0.259534514,0.0694608289,-0.9078809483,0.9468002889,0
2.8104805,0.5404400164,-0.3399243736,-0.8828683139,1.089532217,0
2.8205605,1.417779057,-0.3774225676,-0.641796822,1.601389525,0
2.8306415,2.092655332,0.06046254873,-0.4745483279,2.146638809,0
2.8407225,2.50136869,0.5866739506,-0.353930794,2.593510874,0
2.8508025,2.878242788,0.9207633877,-0.3561588755,3.042849965,0
2.8608835,3.20226449,1.048853663,-0.3113157016,3.38400788,0
2.8709645,3.119980132,1.068597372,-0.4587083669,3.329653095,0
2.8810445,2.673548141,1.005238112,-0.6317571527,2.925317149,0
2.8911255,2.205284985,0.7892507368,-1.128363663,2.599885218,0
2.9012055,1.957040859,0.5560158294,-1.507308115,2.532022962,0
2.9112865,1.944968698,0.4532340574,-1.624334435,2.574254592,0
2.9213675,1.974380193,0.5875603884,-1.623739919,2.622963149,0
2.9314475,1.91411411,0.6475452197,-1.732347126,2.661611205,0
2.9415285,1.618647287,0.5932643473,-1.595446705,2.348921415,0
2.9516095,1.279305296,0.5281257802,-1.57718892,2.098347867,0
