Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
106.20756037,-10.42671987,2.165990965,-0.5354834413,10.66277387,1
106.21753037,-10.40828477,2.211491804,-0.5201518591,10.65333965,1
106.22749896,-10.33270132,2.283881796,-0.5406720778,10.59590293,1
106.23746796,-10.36945458,2.283411972,-0.5325317303,10.63123457,1
106.24743796,-10.42273674,2.272733787,-0.4694531373,10.67797483,1
106.25740796,-10.41790928,2.291655961,-0.4039221855,10.67462758,1
106.26737796,-10.28217319,2.199093076,-0.3747410711,10.52138426,1
106.27734796,-9.514446053,1.53152699,-0.211331201,9.639238533,1
106.28731696,-8.994129814,1.029230115,-0.1812847717,9.054642451,1
106.29728696,-8.494143759,-0.4901846597,-0.06956841767,8.508560334,1
106.30725696,-7.30270048,-3.529506545,0.04041131336,8.111010037,1
106.31722696,-6.069681743,-5.407978075,-0.6403654236,8.154589579,1
106.32719696,28.81550909,-33.02978218,1.851095744,43.87170649,1
106.33716596,70.95519011,-46.26413386,9.115889894,85.19453348,1
106.34713596,68.21224254,28.87450048,-1.015661359,74.07886593,1
106.35710596,61.40139639,26.58841224,-3.07851928,66.98173202,1
106.36707596,35.42110394,-8.315519507,-1.117378353,36.40125002,1
106.37704596,15.78054746,-4.665258896,-1.649134669,16.53813665,1
106.38701496,8.050613156,-1.994736982,-1.608052132,8.448501611,1
106.39698496,4.644098992,-0.4962697839,-1.345274752,4.860422132,1
106.40695496,1.491569749,0.4667282617,-0.8456582415,1.777006879,1
106.41692496,-0.6832635212,1.354625327,-0.5820938265,1.625020627,1
106.42689496,-2.478458129,1.67701127,-0.6585777462,3.06412241,1
106.43686396,-4.197550056,1.527680984,-0.8496238232,4.546987607,1
106.44683396,-5.838693336,1.407613965,-0.9147729883,6.075238807,1
106.45680396,-7.218684762,1.290978093,-0.9015699023,7.388427601,1
106.46677396,-8.235413822,1.223871426,-0.8708399335,8.371276144,1
106.47674396,-9.052674476,1.211272138,-0.6901434282,9.159388261,1
106.48671296,-9.685337947,1.165543695,-0.3629437653,9.761966576,1
106.49668296,-10.05204666,1.052764866,-0.3852245075,10.11436374,1
106.50665296,-10.15797482,0.9462920389,-0.6219765151,10.22089897,1
106.51662296,-10.19009358,0.8401133269,-0.7883029032,10.25500946,1
106.52659296,-10.26829541,0.7394564331,-0.8413716477,10.32921065,1
106.53656196,-10.26926605,0.6693456861,-0.8634945881,10.32721994,1
106.54653196,-10.28955822,0.617290191,-0.8093077829,10.33977924,1
106.55650196,-10.33372341,0.5903700121,-0.7008426634,10.37427379,1
106.56647196,-10.37429724,0.5707307131,-0.5186592112,10.40292191,1
106.57644196,-10.42510604,0.5409230329,-0.258203176,10.44232266,1
106.58641096,-10.46765038,0.4638681327,-0.1752224151,10.47938839,1
106.59638096,-10.53348652,0.4141641684,-0.06774938542,10.5418433,1
106.60635096,-10.60522718,0.2935957328,0.03899153631,10.60936201,1
106.61632096,-10.66482317,0.1704998383,-0.005724442396,10.66618752,1
106.62629096,-10.73789465,0.1303166029,0.03832499027,10.73875378,1
106.63625996,-10.71999983,-0.003011599286,0.0390541472,10.7200714,1
106.64622996,-10.74141701,-0.1911770729,0.05191742778,10.74324362,1
106.65619996,-10.81005631,-0.324899953,0.1150965929,10.81555013,1
106.66616996,-10.78355205,-0.4774465369,0.1210198315,10.79479485,1
106.67613996,-10.73110136,-0.5069497598,0.08700304231,10.74342143,1
106.68610896,-10.58832755,-0.5579354703,0.1223506486,10.60372303,1
106.69607896,-10.56904344,-0.622803019,0.1874371755,10.58903657,1
106.70604896,-10.53240478,-0.6522256965,0.1522708694,10.55367876,1
106.71601896,-10.50039712,-0.7226079735,0.1653615975,10.5265306,1
106.72598896,-10.46916948,-0.8194512402,0.1662175934,10.50250629,1
106.73595796,-10.45501805,-0.9026656705,0.1477065146,10.49495236,1
106.74592796,-10.46843858,-0.9576988602,0.1714742951,10.51355301,1
106.75589796,-10.51925439,-1.035923423,0.2929150987,10.57419735,1
106.76586796,-10.4780935,-1.202033464,0.4684578681,10.55721463,1
106.77583796,-9.894954196,-1.321154695,0.6029882669,10.00095811,1
106.78580696,-8.876412499,-1.773595578,0.5732037199,9.070000145,1
106.79577696,-8.024082,-2.694847208,0.6985551596,8.493295752,1
106.80574696,-7.651795626,-3.137843083,1.374117898,8.383569378,1
106.81571696,-3.901821277,2.863743448,2.787432021,5.585249599,1
106.82568696,51.89592874,55.38122478,13.85548269,77.15077367,1
106.83565596,70.8574387,-6.093821388,8.858724672,71.66860038,1
106.84562596,67.30159249,-50.33748204,-14.1800511,85.23168601,1
106.85559596,42.64829523,1.106336544,-15.38688133,45.35258739,1
106.86556596,19.04926848,4.005876573,-4.942180105,20.08349624,1
106.87553596,8.670220964,1.120611936,-2.150912165,9.003050917,1
